~iteration~,lr
0,0.0001
50,0.0001
100,0.0001
141,0.0001
191,0.0001
241,0.0001
282,0.0001
332,0.0001
382,0.0001
423,0.0001
473,0.0001
523,0.0001
564,0.0001
614,0.0001
664,0.0001
705,0.0001
755,0.0001
805,0.0001
846,0.0001
896,0.0001
946,0.0001
987,0.0001
1037,0.0001
1087,0.0001
1128,0.0001
1178,0.0001
1228,0.0001
1269,0.0001
1319,0.0001
1369,0.0001
1410,0.0001
1460,0.0001
1510,0.0001
1551,0.0001
1601,0.0001
1651,0.0001
1692,0.0001
1742,0.0001
1792,0.0001
1833,0.0001
1883,0.0001
1933,0.0001
1974,0.0001
2024,0.0001
2074,0.0001
2115,0.0001
2165,0.0001
2215,0.0001
2256,0.0001
2306,0.0001
2356,0.0001
2397,0.0001
2447,0.0001
2497,0.0001
2538,0.0001
2588,0.0001
2638,0.0001
2679,0.0001
2729,0.0001
2779,0.0001
2820,0.0001
2870,0.0001
2920,0.0001
2961,0.0001
3011,0.0001
3061,0.0001
3102,0.0001
3152,0.0001
3202,0.0001
3243,0.0001
3293,0.0001
3343,0.0001
3384,0.0001
3434,0.0001
3484,0.0001
3525,0.0001
3575,0.0001
3625,0.0001
3666,0.0001
3716,0.0001
3766,0.0001
3807,0.0001
3857,0.0001
3907,0.0001
3948,0.0001
3998,0.0001
4048,0.0001
4089,0.0001
4139,0.0001
4189,0.0001
4230,0.0001
4280,0.0001
4330,0.0001
4371,0.0001
4421,0.0001
4471,0.0001
4512,0.0001
4562,0.0001
4612,0.0001
4653,0.0001
4703,0.0001
4753,0.0001
4794,0.0001
4844,0.0001
4894,0.0001
4935,0.0001
4985,0.0001
5035,0.0001
5076,0.0001
5126,0.0001
5176,0.0001
5217,0.0001
5267,0.0001
5317,0.0001
5358,0.0001
5408,0.0001
5458,0.0001
5499,0.0001
5549,0.0001
5599,0.0001
5640,0.0001
5690,0.0001
5740,0.0001
5781,0.0001
5831,0.0001
5881,0.0001
5922,0.0001
5972,0.0001
6022,0.0001
6063,0.0001
6113,0.0001
6163,0.0001
6204,0.0001
6254,0.0001
6304,0.0001
6345,0.0001
6395,0.0001
6445,0.0001
6486,0.0001
6536,0.0001
6586,0.0001
6627,0.0001
6677,0.0001
6727,0.0001
6768,0.0001
6818,0.0001
6868,0.0001
6909,0.0001
6959,0.0001
7009,0.0001
7050,0.0001
7100,0.0001
7150,0.0001
7191,0.0001
7241,0.0001
7291,0.0001
7332,0.0001
7382,0.0001
7432,0.0001
7473,0.0001
7523,0.0001
7573,0.0001
7614,0.0001
7664,0.0001
7714,0.0001
7755,0.0001
7805,0.0001
7855,0.0001
7896,0.0001
7946,0.0001
7996,0.0001
8037,0.0001
8087,0.0001
8137,0.0001
8178,0.0001
8228,0.0001
8278,0.0001
8319,0.0001
8369,0.0001
8419,0.0001
8460,0.0001
8510,0.0001
8560,0.0001
8601,0.0001
8651,0.0001
8701,0.0001
8742,0.0001
8792,0.0001
8842,0.0001
8883,0.0001
8933,0.0001
8983,0.0001
9024,0.0001
9074,0.0001
9124,0.0001
9165,0.0001
9215,0.0001
9265,0.0001
9306,0.0001
9356,0.0001
9406,0.0001
9447,0.0001
9497,0.0001
9547,0.0001
9588,0.0001
9638,0.0001
9688,0.0001
9729,0.0001
9779,0.0001
9829,0.0001
9870,0.0001
