~iteration~,metric_loss,total_loss
0,1,1
50,1,1
100,1,1
141,1,1
191,1,1
241,1,1
282,1,1
332,1,1
382,1,1
423,1,1
473,1,1
523,1,1
564,1,1
614,1,1
664,1,1
705,1,1
755,1,1
805,1,1
846,1,1
896,1,1
946,1,1
987,1,1
1037,1,1
1087,1,1
1128,1,1
1178,1,1
1228,1,1
1269,1,1
1319,1,1
1369,1,1
1410,1,1
1460,1,1
1510,1,1
1551,1,1
1601,1,1
1651,1,1
1692,1,1
1742,1,1
1792,1,1
1833,1,1
1883,1,1
1933,1,1
1974,1,1
2024,1,1
2074,1,1
2115,1,1
2165,1,1
2215,1,1
2256,1,1
2306,1,1
2356,1,1
2397,1,1
2447,1,1
2497,1,1
2538,1,1
2588,1,1
2638,1,1
2679,1,1
2729,1,1
2779,1,1
2820,1,1
2870,1,1
2920,1,1
2961,1,1
3011,1,1
3061,1,1
3102,1,1
3152,1,1
3202,1,1
3243,1,1
3293,1,1
3343,1,1
3384,1,1
3434,1,1
3484,1,1
3525,1,1
3575,1,1
3625,1,1
3666,1,1
3716,1,1
3766,1,1
3807,1,1
3857,1,1
3907,1,1
3948,1,1
3998,1,1
4048,1,1
4089,1,1
4139,1,1
4189,1,1
4230,1,1
4280,1,1
4330,1,1
4371,1,1
4421,1,1
4471,1,1
4512,1,1
4562,1,1
4612,1,1
4653,1,1
4703,1,1
4753,1,1
4794,1,1
4844,1,1
4894,1,1
4935,1,1
4985,1,1
5035,1,1
5076,1,1
5126,1,1
5176,1,1
5217,1,1
5267,1,1
5317,1,1
5358,1,1
5408,1,1
5458,1,1
5499,1,1
5549,1,1
5599,1,1
5640,1,1
5690,1,1
5740,1,1
5781,1,1
5831,1,1
5881,1,1
5922,1,1
5972,1,1
6022,1,1
6063,1,1
6113,1,1
6163,1,1
6204,1,1
6254,1,1
6304,1,1
6345,1,1
6395,1,1
6445,1,1
6486,1,1
6536,1,1
6586,1,1
6627,1,1
6677,1,1
6727,1,1
6768,1,1
6818,1,1
6868,1,1
6909,1,1
6959,1,1
7009,1,1
7050,1,1
7100,1,1
7150,1,1
7191,1,1
7241,1,1
7291,1,1
