~iteration~,alpha,beta,base
0,2,50,0.5
50,2,50,0.5
100,2,50,0.5
141,2,50,0.5
191,2,50,0.5
241,2,50,0.5
282,2,50,0.5
332,2,50,0.5
382,2,50,0.5
423,2,50,0.5
473,2,50,0.5
523,2,50,0.5
564,2,50,0.5
614,2,50,0.5
664,2,50,0.5
705,2,50,0.5
755,2,50,0.5
805,2,50,0.5
846,2,50,0.5
896,2,50,0.5
946,2,50,0.5
987,2,50,0.5
1037,2,50,0.5
1087,2,50,0.5
1128,2,50,0.5
1178,2,50,0.5
1228,2,50,0.5
1269,2,50,0.5
1319,2,50,0.5
1369,2,50,0.5
1410,2,50,0.5
1460,2,50,0.5
1510,2,50,0.5
1551,2,50,0.5
1601,2,50,0.5
1651,2,50,0.5
1692,2,50,0.5
1742,2,50,0.5
1792,2,50,0.5
1833,2,50,0.5
1883,2,50,0.5
1933,2,50,0.5
1974,2,50,0.5
2024,2,50,0.5
2074,2,50,0.5
2115,2,50,0.5
2165,2,50,0.5
2215,2,50,0.5
2256,2,50,0.5
2306,2,50,0.5
2356,2,50,0.5
2397,2,50,0.5
2447,2,50,0.5
2497,2,50,0.5
2538,2,50,0.5
2588,2,50,0.5
2638,2,50,0.5
2679,2,50,0.5
2729,2,50,0.5
2779,2,50,0.5
2820,2,50,0.5
2870,2,50,0.5
2920,2,50,0.5
2961,2,50,0.5
3011,2,50,0.5
3061,2,50,0.5
3102,2,50,0.5
3152,2,50,0.5
3202,2,50,0.5
3243,2,50,0.5
3293,2,50,0.5
3343,2,50,0.5
3384,2,50,0.5
3434,2,50,0.5
3484,2,50,0.5
3525,2,50,0.5
3575,2,50,0.5
3625,2,50,0.5
3666,2,50,0.5
3716,2,50,0.5
3766,2,50,0.5
3807,2,50,0.5
3857,2,50,0.5
3907,2,50,0.5
3948,2,50,0.5
3998,2,50,0.5
4048,2,50,0.5
4089,2,50,0.5
4139,2,50,0.5
4189,2,50,0.5
4230,2,50,0.5
4280,2,50,0.5
4330,2,50,0.5
4371,2,50,0.5
4421,2,50,0.5
4471,2,50,0.5
4512,2,50,0.5
4562,2,50,0.5
4612,2,50,0.5
4653,2,50,0.5
4703,2,50,0.5
4753,2,50,0.5
4794,2,50,0.5
4844,2,50,0.5
4894,2,50,0.5
4935,2,50,0.5
4985,2,50,0.5
