~iteration~,p,power
0,2,1
50,2,1
100,2,1
141,2,1
191,2,1
241,2,1
282,2,1
332,2,1
382,2,1
423,2,1
473,2,1
523,2,1
564,2,1
614,2,1
664,2,1
705,2,1
755,2,1
805,2,1
846,2,1
896,2,1
946,2,1
987,2,1
1037,2,1
1087,2,1
1128,2,1
1178,2,1
1228,2,1
1269,2,1
1319,2,1
1369,2,1
1410,2,1
1460,2,1
1510,2,1
1551,2,1
1601,2,1
1651,2,1
1692,2,1
1742,2,1
1792,2,1
1833,2,1
1883,2,1
1933,2,1
1974,2,1
2024,2,1
2074,2,1
2115,2,1
2165,2,1
2215,2,1
2256,2,1
2306,2,1
2356,2,1
2397,2,1
2447,2,1
2497,2,1
2538,2,1
2588,2,1
2638,2,1
2679,2,1
2729,2,1
2779,2,1
2820,2,1
2870,2,1
2920,2,1
2961,2,1
3011,2,1
3061,2,1
3102,2,1
3152,2,1
3202,2,1
3243,2,1
3293,2,1
3343,2,1
3384,2,1
3434,2,1
3484,2,1
3525,2,1
3575,2,1
3625,2,1
3666,2,1
3716,2,1
3766,2,1
3807,2,1
3857,2,1
3907,2,1
3948,2,1
3998,2,1
4048,2,1
4089,2,1
4139,2,1
4189,2,1
4230,2,1
4280,2,1
4330,2,1
4371,2,1
4421,2,1
4471,2,1
4512,2,1
4562,2,1
4612,2,1
4653,2,1
4703,2,1
4753,2,1
4794,2,1
4844,2,1
4894,2,1
4935,2,1
4985,2,1
5035,2,1
5076,2,1
5126,2,1
5176,2,1
5217,2,1
5267,2,1
5317,2,1
5358,2,1
5408,2,1
5458,2,1
5499,2,1
5549,2,1
5599,2,1
5640,2,1
5690,2,1
5740,2,1
5781,2,1
5831,2,1
5881,2,1
5922,2,1
5972,2,1
6022,2,1
6063,2,1
6113,2,1
6163,2,1
6204,2,1
6254,2,1
6304,2,1
6345,2,1
6395,2,1
6445,2,1
6486,2,1
6536,2,1
6586,2,1
6627,2,1
6677,2,1
6727,2,1
6768,2,1
6818,2,1
6868,2,1
6909,2,1
6959,2,1
7009,2,1
7050,2,1
7100,2,1
7150,2,1
7191,2,1
7241,2,1
7291,2,1
7332,2,1
7382,2,1
7432,2,1
7473,2,1
7523,2,1
7573,2,1
7614,2,1
7664,2,1
7714,2,1
7755,2,1
7805,2,1
7855,2,1
7896,2,1
7946,2,1
7996,2,1
8037,2,1
8087,2,1
8137,2,1
8178,2,1
8228,2,1
8278,2,1
8319,2,1
8369,2,1
8419,2,1
8460,2,1
8510,2,1
8560,2,1
8601,2,1
8651,2,1
8701,2,1
8742,2,1
8792,2,1
8842,2,1
8883,2,1
8933,2,1
8983,2,1
9024,2,1
9074,2,1
9124,2,1
9165,2,1
9215,2,1
9265,2,1
9306,2,1
9356,2,1
9406,2,1
9447,2,1
9497,2,1
9547,2,1
9588,2,1
9638,2,1
9688,2,1
9729,2,1
9779,2,1
9829,2,1
9870,2,1
9920,2,1
9970,2,1
10011,2,1
10061,2,1
10111,2,1
10152,2,1
10202,2,1
10252,2,1
10293,2,1
10343,2,1
10393,2,1
10434,2,1
10484,2,1
10534,2,1
10575,2,1
10625,2,1
10675,2,1
10716,2,1
10766,2,1
10816,2,1
10857,2,1
10907,2,1
10957,2,1
10998,2,1
11048,2,1
11098,2,1
11139,2,1
11189,2,1
11239,2,1
11280,2,1
11330,2,1
11380,2,1
11421,2,1
11471,2,1
11521,2,1
11562,2,1
11612,2,1
11662,2,1
11703,2,1
11753,2,1
11803,2,1
11844,2,1
11894,2,1
11944,2,1
11985,2,1
12035,2,1
12085,2,1
12126,2,1
12176,2,1
12226,2,1
12267,2,1
12317,2,1
12367,2,1
12408,2,1
12458,2,1
12508,2,1
12549,2,1
12599,2,1
12649,2,1
12690,2,1
12740,2,1
12790,2,1
12831,2,1
12881,2,1
12931,2,1
12972,2,1
13022,2,1
13072,2,1
13113,2,1
13163,2,1
13213,2,1
13254,2,1
13304,2,1
13354,2,1
13395,2,1
13445,2,1
13495,2,1
13536,2,1
13586,2,1
13636,2,1
13677,2,1
13727,2,1
13777,2,1
13818,2,1
13868,2,1
13918,2,1
13959,2,1
14009,2,1
14059,2,1
14100,2,1
14150,2,1
14200,2,1
14241,2,1
14291,2,1
14341,2,1
14382,2,1
14432,2,1
14482,2,1
14523,2,1
14573,2,1
14623,2,1
14664,2,1
14714,2,1
14764,2,1
14805,2,1
14855,2,1
14905,2,1
14946,2,1
14996,2,1
15046,2,1
15087,2,1
15137,2,1
15187,2,1
15228,2,1
15278,2,1
15328,2,1
15369,2,1
15419,2,1
15469,2,1
15510,2,1
15560,2,1
15610,2,1
15651,2,1
15701,2,1
15751,2,1
15792,2,1
15842,2,1
15892,2,1
15933,2,1
15983,2,1
16033,2,1
16074,2,1
16124,2,1
16174,2,1
16215,2,1
16265,2,1
16315,2,1
16356,2,1
16406,2,1
16456,2,1
16497,2,1
16547,2,1
16597,2,1
16638,2,1
16688,2,1
16738,2,1
16779,2,1
16829,2,1
16879,2,1
16920,2,1
16970,2,1
17020,2,1
17061,2,1
17111,2,1
17161,2,1
