~iteration~,lr
0,1e-05
50,1e-05
100,1e-05
141,1e-05
191,1e-05
241,1e-05
282,1e-05
332,1e-05
382,1e-05
423,1e-05
473,1e-05
523,1e-05
564,1e-05
614,1e-05
664,1e-05
705,1e-05
755,1e-05
805,1e-05
846,1e-05
896,1e-05
946,1e-05
987,1e-05
1037,1e-05
1087,1e-05
1128,1e-05
1178,1e-05
1228,1e-05
1269,1e-05
1319,1e-05
1369,1e-05
1410,1e-05
1460,1e-05
1510,1e-05
1551,1e-05
1601,1e-05
1651,1e-05
1692,1e-05
1742,1e-05
1792,1e-05
1833,1e-05
1883,1e-05
1933,1e-05
1974,1e-05
2024,1e-05
2074,1e-05
2115,1e-05
2165,1e-05
2215,1e-05
2256,1e-05
2306,1e-05
2356,1e-05
2397,1e-05
2447,1e-05
2497,1e-05
2538,1e-05
2588,1e-05
2638,1e-05
2679,1e-05
2729,1e-05
2779,1e-05
2820,1e-05
2870,1e-05
2920,1e-05
2961,1e-05
3011,1e-05
3061,1e-05
3102,1e-05
3152,1e-05
3202,1e-05
3243,1e-05
3293,1e-05
3343,1e-05
3384,1e-05
3434,1e-05
3484,1e-05
3525,1e-05
3575,1e-05
3625,1e-05
3666,1e-05
3716,1e-05
3766,1e-05
3807,1e-05
3857,1e-05
3907,1e-05
3948,1e-05
3998,1e-05
4048,1e-05
4089,1e-05
4139,1e-05
4189,1e-05
4230,1e-05
4280,1e-05
4330,1e-05
4371,1e-05
4421,1e-05
4471,1e-05
4512,1e-05
4562,1e-05
4612,1e-05
4653,1e-05
4703,1e-05
4753,1e-05
4794,1e-05
4844,1e-05
4894,1e-05
4935,1e-05
4985,1e-05
5035,1e-05
5076,1e-05
5126,1e-05
5176,1e-05
5217,1e-05
5267,1e-05
5317,1e-05
5358,1e-05
5408,1e-05
5458,1e-05
5499,1e-05
5549,1e-05
5599,1e-05
5640,1e-05
5690,1e-05
5740,1e-05
5781,1e-05
5831,1e-05
5881,1e-05
5922,1e-05
5972,1e-05
6022,1e-05
6063,1e-05
6113,1e-05
6163,1e-05
6204,1e-05
6254,1e-05
6304,1e-05
6345,1e-05
6395,1e-05
6445,1e-05
6486,1e-05
6536,1e-05
6586,1e-05
6627,1e-05
6677,1e-05
6727,1e-05
6768,1e-05
6818,1e-05
6868,1e-05
6909,1e-05
6959,1e-05
7009,1e-05
7050,1e-05
7100,1e-05
7150,1e-05
7191,1e-05
7241,1e-05
7291,1e-05
7332,1e-05
7382,1e-05
7432,1e-05
7473,1e-05
7523,1e-05
7573,1e-05
7614,1e-05
7664,1e-05
7714,1e-05
7755,1e-05
7805,1e-05
7855,1e-05
7896,1e-05
7946,1e-05
7996,1e-05
8037,1e-05
8087,1e-05
8137,1e-05
8178,1e-05
8228,1e-05
8278,1e-05
8319,1e-05
8369,1e-05
8419,1e-05
8460,1e-05
8510,1e-05
8560,1e-05
8601,1e-05
8651,1e-05
8701,1e-05
8742,1e-05
8792,1e-05
8842,1e-05
8883,1e-05
8933,1e-05
8983,1e-05
9024,1e-05
9074,1e-05
9124,1e-05
9165,1e-05
9215,1e-05
9265,1e-05
9306,1e-05
9356,1e-05
9406,1e-05
9447,1e-05
9497,1e-05
