~iteration~,epsilon
0,0.1
50,0.1
100,0.1
141,0.1
191,0.1
241,0.1
282,0.1
332,0.1
382,0.1
423,0.1
473,0.1
523,0.1
564,0.1
614,0.1
664,0.1
705,0.1
755,0.1
805,0.1
846,0.1
896,0.1
946,0.1
987,0.1
1037,0.1
1087,0.1
1128,0.1
1178,0.1
1228,0.1
1269,0.1
1319,0.1
1369,0.1
1410,0.1
1460,0.1
1510,0.1
1551,0.1
1601,0.1
1651,0.1
1692,0.1
1742,0.1
1792,0.1
1833,0.1
1883,0.1
1933,0.1
1974,0.1
2024,0.1
2074,0.1
2115,0.1
2165,0.1
2215,0.1
2256,0.1
2306,0.1
2356,0.1
2397,0.1
2447,0.1
2497,0.1
2538,0.1
2588,0.1
2638,0.1
2679,0.1
2729,0.1
2779,0.1
2820,0.1
2870,0.1
2920,0.1
2961,0.1
3011,0.1
3061,0.1
3102,0.1
3152,0.1
3202,0.1
3243,0.1
3293,0.1
3343,0.1
3384,0.1
3434,0.1
3484,0.1
3525,0.1
3575,0.1
3625,0.1
3666,0.1
3716,0.1
3766,0.1
3807,0.1
3857,0.1
3907,0.1
3948,0.1
3998,0.1
4048,0.1
4089,0.1
4139,0.1
4189,0.1
4230,0.1
4280,0.1
4330,0.1
4371,0.1
4421,0.1
4471,0.1
4512,0.1
4562,0.1
4612,0.1
4653,0.1
4703,0.1
4753,0.1
4794,0.1
4844,0.1
4894,0.1
4935,0.1
4985,0.1
5035,0.1
5076,0.1
5126,0.1
5176,0.1
5217,0.1
5267,0.1
5317,0.1
5358,0.1
5408,0.1
5458,0.1
5499,0.1
5549,0.1
5599,0.1
5640,0.1
5690,0.1
5740,0.1
5781,0.1
5831,0.1
5881,0.1
5922,0.1
5972,0.1
6022,0.1
6063,0.1
6113,0.1
6163,0.1
6204,0.1
6254,0.1
6304,0.1
6345,0.1
6395,0.1
6445,0.1
6486,0.1
6536,0.1
6586,0.1
6627,0.1
6677,0.1
6727,0.1
6768,0.1
6818,0.1
6868,0.1
6909,0.1
6959,0.1
7009,0.1
7050,0.1
7100,0.1
7150,0.1
7191,0.1
7241,0.1
7291,0.1
7332,0.1
7382,0.1
7432,0.1
7473,0.1
7523,0.1
7573,0.1
7614,0.1
7664,0.1
7714,0.1
7755,0.1
7805,0.1
7855,0.1
7896,0.1
7946,0.1
7996,0.1
8037,0.1
8087,0.1
8137,0.1
8178,0.1
8228,0.1
8278,0.1
8319,0.1
8369,0.1
8419,0.1
8460,0.1
8510,0.1
8560,0.1
8601,0.1
8651,0.1
8701,0.1
8742,0.1
8792,0.1
8842,0.1
8883,0.1
8933,0.1
8983,0.1
9024,0.1
9074,0.1
9124,0.1
9165,0.1
9215,0.1
9265,0.1
9306,0.1
9356,0.1
9406,0.1
9447,0.1
9497,0.1
9547,0.1
9588,0.1
9638,0.1
9688,0.1
9729,0.1
9779,0.1
9829,0.1
9870,0.1
9920,0.1
9970,0.1
10011,0.1
10061,0.1
10111,0.1
10152,0.1
10202,0.1
10252,0.1
10293,0.1
10343,0.1
10393,0.1
10434,0.1
10484,0.1
10534,0.1
10575,0.1
10625,0.1
10675,0.1
10716,0.1
10766,0.1
10816,0.1
10857,0.1
10907,0.1
10957,0.1
10998,0.1
11048,0.1
11098,0.1
11139,0.1
11189,0.1
11239,0.1
11280,0.1
11330,0.1
11380,0.1
11421,0.1
11471,0.1
11521,0.1
11562,0.1
11612,0.1
11662,0.1
11703,0.1
11753,0.1
11803,0.1
11844,0.1
11894,0.1
11944,0.1
11985,0.1
12035,0.1
12085,0.1
12126,0.1
12176,0.1
12226,0.1
12267,0.1
12317,0.1
12367,0.1
12408,0.1
12458,0.1
12508,0.1
12549,0.1
12599,0.1
12649,0.1
12690,0.1
12740,0.1
12790,0.1
12831,0.1
12881,0.1
12931,0.1
12972,0.1
13022,0.1
13072,0.1
13113,0.1
13163,0.1
13213,0.1
13254,0.1
13304,0.1
13354,0.1
13395,0.1
13445,0.1
13495,0.1
13536,0.1
13586,0.1
13636,0.1
13677,0.1
13727,0.1
13777,0.1
13818,0.1
13868,0.1
13918,0.1
13959,0.1
14009,0.1
14059,0.1
14100,0.1
14150,0.1
14200,0.1
14241,0.1
14291,0.1
14341,0.1
14382,0.1
14432,0.1
14482,0.1
14523,0.1
14573,0.1
14623,0.1
14664,0.1
14714,0.1
14764,0.1
14805,0.1
14855,0.1
14905,0.1
14946,0.1
14996,0.1
15046,0.1
15087,0.1
15137,0.1
15187,0.1
15228,0.1
15278,0.1
15328,0.1
15369,0.1
15419,0.1
15469,0.1
15510,0.1
15560,0.1
15610,0.1
15651,0.1
15701,0.1
15751,0.1
15792,0.1
15842,0.1
15892,0.1
15933,0.1
15983,0.1
16033,0.1
16074,0.1
16124,0.1
16174,0.1
16215,0.1
16265,0.1
16315,0.1
16356,0.1
16406,0.1
16456,0.1
16497,0.1
16547,0.1
16597,0.1
16638,0.1
16688,0.1
16738,0.1
16779,0.1
16829,0.1
16879,0.1
16920,0.1
16970,0.1
17020,0.1
17061,0.1
17111,0.1
17161,0.1
17202,0.1
17252,0.1
17302,0.1
17343,0.1
17393,0.1
17443,0.1
17484,0.1
17534,0.1
17584,0.1
17625,0.1
17675,0.1
17725,0.1
17766,0.1
17816,0.1
17866,0.1
17907,0.1
17957,0.1
18007,0.1
18048,0.1
18098,0.1
18148,0.1
18189,0.1
18239,0.1
18289,0.1
18330,0.1
18380,0.1
18430,0.1
18471,0.1
18521,0.1
18571,0.1
18612,0.1
18662,0.1
18712,0.1
18753,0.1
18803,0.1
18853,0.1
18894,0.1
18944,0.1
18994,0.1
19035,0.1
19085,0.1
19135,0.1
19176,0.1
19226,0.1
19276,0.1
19317,0.1
19367,0.1
19417,0.1
19458,0.1
19508,0.1
19558,0.1
19599,0.1
19649,0.1
19699,0.1
19740,0.1
19790,0.1
19840,0.1
19881,0.1
19931,0.1
19981,0.1
20022,0.1
20072,0.1
20122,0.1
20163,0.1
20213,0.1
20263,0.1
20304,0.1
20354,0.1
20404,0.1
20445,0.1
20495,0.1
20545,0.1
20586,0.1
20636,0.1
20686,0.1
20727,0.1
20777,0.1
20827,0.1
20868,0.1
20918,0.1
20968,0.1
21009,0.1
21059,0.1
21109,0.1
21150,0.1
21200,0.1
21250,0.1
21291,0.1
21341,0.1
21391,0.1
21432,0.1
21482,0.1
21532,0.1
21573,0.1
21623,0.1
21673,0.1
21714,0.1
21764,0.1
21814,0.1
21855,0.1
21905,0.1
21955,0.1
21996,0.1
22046,0.1
22096,0.1
22137,0.1
22187,0.1
22237,0.1
22278,0.1
22328,0.1
22378,0.1
22419,0.1
22469,0.1
22519,0.1
22560,0.1
22610,0.1
22660,0.1
22701,0.1
22751,0.1
22801,0.1
22842,0.1
22892,0.1
22942,0.1
22983,0.1
23033,0.1
23083,0.1
23124,0.1
23174,0.1
23224,0.1
23265,0.1
23315,0.1
23365,0.1
23406,0.1
23456,0.1
23506,0.1
23547,0.1
23597,0.1
23647,0.1
23688,0.1
23738,0.1
23788,0.1
23829,0.1
23879,0.1
23929,0.1
23970,0.1
24020,0.1
24070,0.1
24111,0.1
24161,0.1
24211,0.1
24252,0.1
24302,0.1
24352,0.1
24393,0.1
24443,0.1
24493,0.1
24534,0.1
24584,0.1
24634,0.1
24675,0.1
24725,0.1
24775,0.1
24816,0.1
24866,0.1
24916,0.1
24957,0.1
25007,0.1
25057,0.1
25098,0.1
25148,0.1
25198,0.1
25239,0.1
25289,0.1
25339,0.1
25380,0.1
25430,0.1
25480,0.1
25521,0.1
25571,0.1
25621,0.1
25662,0.1
25712,0.1
25762,0.1
25803,0.1
25853,0.1
25903,0.1
25944,0.1
25994,0.1
26044,0.1
26085,0.1
26135,0.1
26185,0.1
26226,0.1
26276,0.1
26326,0.1
26367,0.1
26417,0.1
26467,0.1
26508,0.1
26558,0.1
26608,0.1
26649,0.1
26699,0.1
26749,0.1
26790,0.1
26840,0.1
26890,0.1
26931,0.1
26981,0.1
27031,0.1
27072,0.1
27122,0.1
27172,0.1
27213,0.1
27263,0.1
27313,0.1
27354,0.1
27404,0.1
27454,0.1
27495,0.1
27545,0.1
27595,0.1
27636,0.1
27686,0.1
27736,0.1
27777,0.1
