[2022-08-11 12:51:17,745][numexpr.utils][INFO] - Note: NumExpr detected 48 cores but "NUMEXPR_MAX_THREADS" not set, so enforcing safe limit of 8.
[2022-08-11 12:51:17,745][numexpr.utils][INFO] - NumExpr defaulting to 8 threads.
[2022-08-11 12:51:23,510][PML][INFO] - Initializing dataloader
[2022-08-11 12:51:23,511][PML][INFO] - Initializing dataloader iterator
[2022-08-11 12:51:24,241][PML][INFO] - Done creating dataloader iterator
[2022-08-11 12:51:24,243][PML][INFO] - TRAINING EPOCH 1
[2022-08-11 12:51:30,549][PML][INFO] - Evaluating epoch 1
[2022-08-11 12:51:30,550][PML][INFO] - Getting embeddings for the val split
[2022-08-11 12:51:32,555][PML][INFO] - Computing accuracy for the val split w.r.t ['val']
[2022-08-11 12:51:32,557][PML][INFO] - running k-nn with k=46
[2022-08-11 12:51:32,557][PML][INFO] - embedding dimensionality is 128
[2022-08-11 12:51:32,722][PML][INFO] - running k-means clustering with k=89
[2022-08-11 12:51:32,722][PML][INFO] - embedding dimensionality is 128
[2022-08-11 12:51:33,288][PML][INFO] - New best accuracy! 0.18371412257878675
[2022-08-11 12:51:33,477][PML][INFO] - TRAINING EPOCH 2
[2022-08-11 12:51:39,886][PML][INFO] - Evaluating epoch 2
[2022-08-11 12:51:39,886][PML][INFO] - Getting embeddings for the val split
[2022-08-11 12:51:41,817][PML][INFO] - Computing accuracy for the val split w.r.t ['val']
[2022-08-11 12:51:41,818][PML][INFO] - running k-nn with k=46
[2022-08-11 12:51:41,818][PML][INFO] - embedding dimensionality is 128
[2022-08-11 12:51:41,983][PML][INFO] - running k-means clustering with k=89
[2022-08-11 12:51:41,983][PML][INFO] - embedding dimensionality is 128
[2022-08-11 12:51:42,562][PML][INFO] - New best accuracy! 0.20768383964425857
[2022-08-11 12:51:42,769][PML][INFO] - TRAINING EPOCH 3
[2022-08-11 12:51:49,212][PML][INFO] - Evaluating epoch 3
[2022-08-11 12:51:49,212][PML][INFO] - Getting embeddings for the val split
[2022-08-11 12:51:51,175][PML][INFO] - Computing accuracy for the val split w.r.t ['val']
[2022-08-11 12:51:51,176][PML][INFO] - running k-nn with k=46
[2022-08-11 12:51:51,176][PML][INFO] - embedding dimensionality is 128
[2022-08-11 12:51:51,340][PML][INFO] - running k-means clustering with k=89
[2022-08-11 12:51:51,340][PML][INFO] - embedding dimensionality is 128
[2022-08-11 12:51:51,879][PML][INFO] - New best accuracy! 0.24110173539758595
[2022-08-11 12:51:52,087][PML][INFO] - TRAINING EPOCH 4
[2022-08-11 12:51:58,500][PML][INFO] - Evaluating epoch 4
[2022-08-11 12:51:58,500][PML][INFO] - Getting embeddings for the val split
[2022-08-11 12:52:00,544][PML][INFO] - Computing accuracy for the val split w.r.t ['val']
[2022-08-11 12:52:00,546][PML][INFO] - running k-nn with k=46
[2022-08-11 12:52:00,546][PML][INFO] - embedding dimensionality is 128
[2022-08-11 12:52:00,711][PML][INFO] - running k-means clustering with k=89
[2022-08-11 12:52:00,711][PML][INFO] - embedding dimensionality is 128
[2022-08-11 12:52:01,250][PML][INFO] - TRAINING EPOCH 5
[2022-08-11 12:52:07,805][PML][INFO] - Evaluating epoch 5
[2022-08-11 12:52:07,805][PML][INFO] - Getting embeddings for the val split
[2022-08-11 12:52:09,838][PML][INFO] - Computing accuracy for the val split w.r.t ['val']
[2022-08-11 12:52:09,840][PML][INFO] - running k-nn with k=46
[2022-08-11 12:52:09,840][PML][INFO] - embedding dimensionality is 128
[2022-08-11 12:52:10,004][PML][INFO] - running k-means clustering with k=89
[2022-08-11 12:52:10,004][PML][INFO] - embedding dimensionality is 128
[2022-08-11 12:52:10,580][PML][INFO] - New best accuracy! 0.24808693351249758
[2022-08-11 12:52:10,789][PML][INFO] - TRAINING EPOCH 6
[2022-08-11 12:52:17,227][PML][INFO] - Evaluating epoch 6
[2022-08-11 12:52:17,228][PML][INFO] - Getting embeddings for the val split
[2022-08-11 12:52:19,171][PML][INFO] - Computing accuracy for the val split w.r.t ['val']
[2022-08-11 12:52:19,173][PML][INFO] - running k-nn with k=46
[2022-08-11 12:52:19,173][PML][INFO] - embedding dimensionality is 128
[2022-08-11 12:52:19,338][PML][INFO] - running k-means clustering with k=89
[2022-08-11 12:52:19,338][PML][INFO] - embedding dimensionality is 128
[2022-08-11 12:52:19,878][PML][INFO] - New best accuracy! 0.2733241387041509
[2022-08-11 12:52:20,089][PML][INFO] - TRAINING EPOCH 7
[2022-08-11 12:52:26,643][PML][INFO] - Evaluating epoch 7
[2022-08-11 12:52:26,644][PML][INFO] - Getting embeddings for the val split
[2022-08-11 12:52:28,610][PML][INFO] - Computing accuracy for the val split w.r.t ['val']
[2022-08-11 12:52:28,611][PML][INFO] - running k-nn with k=46
[2022-08-11 12:52:28,611][PML][INFO] - embedding dimensionality is 128
[2022-08-11 12:52:28,777][PML][INFO] - running k-means clustering with k=89
[2022-08-11 12:52:28,777][PML][INFO] - embedding dimensionality is 128
[2022-08-11 12:52:29,316][PML][INFO] - New best accuracy! 0.27475994940598564
[2022-08-11 12:52:29,526][PML][INFO] - TRAINING EPOCH 8
[2022-08-11 12:52:35,949][PML][INFO] - Evaluating epoch 8
[2022-08-11 12:52:35,949][PML][INFO] - Getting embeddings for the val split
[2022-08-11 12:52:37,932][PML][INFO] - Computing accuracy for the val split w.r.t ['val']
[2022-08-11 12:52:37,934][PML][INFO] - running k-nn with k=46
[2022-08-11 12:52:37,934][PML][INFO] - embedding dimensionality is 128
[2022-08-11 12:52:38,099][PML][INFO] - running k-means clustering with k=89
